证券名称,证券代码,交易日期,收盘价,涨跌幅(%),最高价,最低价,成交量(万份),成交额(万元),数据完整性
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
1000ETF,512100,20260105,3.15,2.30594,3.15,3.09,39417.56,123236.17,是
1000ETF,512100,20260106,3.195,1.42857,3.2,3.15,57653.32,183014.65,是
1000ETF,512100,20260107,3.203,0.25039,3.22,3.19,56010.79,179395.93,是
1000ETF,512100,20260108,3.231,0.87418,3.24,3.2,33825.75,109063.3,是
1000ETF,512100,20260109,3.305,2.29031,3.31,3.23,89236.23,292969.93,是
,,,,,,,,,否
,,,,,,,,,否
1000ETF,512100,20260112,3.406,3.05598,3.41,3.31,105050.42,354646.36,是
1000ETF,512100,20260113,3.337,-2.02584,3.41,3.32,106616.79,356918.54,是
1000ETF,512100,20260114,3.345,0.23974,3.42,3.3,174693.69,588975.02,是
1000ETF,512100,20260115,3.345,0,3.35,3.3,97075.16,323016.93,是
1000ETF,512100,20260116,3.336,-0.26906,3.37,3.31,190714.45,635526.03,是
,,,,,,,,,否
,,,,,,,,,否
XD1000,512100,20260119,3.304,0.27314,3.33,3.27,214896.88,709794.62,是
1000ETF,512100,20260120,3.277,-0.81719,3.32,3.24,157912.04,517101.78,是
1000ETF,512100,20260121,3.305,0.85444,3.32,3.25,553152.89,1822569.07,是
1000ETF,512100,20260122,3.33,0.75643,3.33,3.3,196848.46,652228.37,是
1000ETF,512100,20260123,3.402,2.16216,3.41,3.33,341227.52,1150871.61,是
,,,,,,,,,否
,,,,,,,,,否
1000ETF,512100,20260126,3.344,-1.70488,3.42,3.32,272466.05,914266.18,是
1000ETF,512100,20260127,3.357,0.38876,3.37,3.27,165835.69,553007.63,是
1000ETF,512100,20260128,3.366,0.2681,3.37,3.33,226613.83,759543.13,是
1000ETF,512100,20260129,3.34,-0.77243,3.39,3.32,149610.23,501702.74,是
1000ETF,512100,20260130,3.311,-0.86826,3.34,3.23,81344.46,267791.32,是
,,,,,,,,,否
,,,,,,,,,否
1000ETF,512100,20260202,3.175,-4.10752,3.3,3.17,150181.12,483690.07,是
1000ETF,512100,20260203,3.284,3.43307,3.29,3.2,89255.49,290675.3,是
1000ETF,512100,20260204,3.289,0.15225,3.29,3.24,98902.46,322769.82,是
1000ETF,512100,20260205,3.232,-1.73305,3.27,3.21,73925.39,238898.78,是
1000ETF,512100,20260206,3.221,-0.34035,3.27,3.18,122174.01,395313.07,是
,,,,,,,,,否
,,,,,,,,,否
