证券名称,证券代码,交易日期,前收价,开盘价,最高价,最低价,收盘价,涨跌幅(%),成交量(万份),成交额(万元),数据完整性
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-01-05,3.132,3.150,3.200,3.140,3.199,2.14,"43,502.57","138,317.96",是
中证1000ETF,159845,2026-01-06,3.199,3.205,3.246,3.198,3.245,1.44,"50,490.07","162,806.20",是
中证1000ETF,159845,2026-01-07,3.245,3.250,3.274,3.243,3.259,0.43,"61,483.70","200,327.67",是
中证1000ETF,159845,2026-01-08,3.259,3.252,3.299,3.250,3.286,0.83,"43,955.02","144,259.07",是
中证1000ETF,159845,2026-01-09,3.286,3.281,3.365,3.281,3.365,2.40,"73,889.47","246,722.73",是
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-01-12,3.365,3.370,3.471,3.370,3.464,2.94,"89,022.66","304,911.31",是
中证1000ETF,159845,2026-01-13,3.464,3.461,3.468,3.376,3.396,-1.96,"97,839.07","333,506.24",是
中证1000ETF,159845,2026-01-14,3.396,3.390,3.478,3.360,3.397,0.03,"144,774.00","496,246.04",是
中证1000ETF,159845,2026-01-15,3.397,3.387,3.408,3.358,3.401,0.12,"48,612.33","164,644.02",是
中证1000ETF,159845,2026-01-16,3.401,3.401,3.431,3.367,3.397,-0.12,"193,519.20","654,913.12",是
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-01-19,3.397,3.378,3.425,3.373,3.404,0.21,"157,695.38","536,897.77",是
中证1000ETF,159845,2026-01-20,3.404,3.404,3.420,3.338,3.375,-0.85,"132,111.05","445,810.68",是
中证1000ETF,159845,2026-01-21,3.375,3.360,3.421,3.350,3.392,0.50,"270,471.00","918,447.66",是
中证1000ETF,159845,2026-01-22,3.392,3.398,3.431,3.393,3.431,1.15,"191,552.04","653,658.50",是
中证1000ETF,159845,2026-01-23,3.431,3.430,3.505,3.430,3.505,2.16,"256,195.62","889,337.60",是
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-01-26,3.505,3.503,3.523,3.419,3.446,-1.68,"220,302.75","762,748.13",是
中证1000ETF,159845,2026-01-27,3.446,3.416,3.469,3.373,3.460,0.41,"133,365.45","457,745.26",是
中证1000ETF,159845,2026-01-28,3.460,3.456,3.476,3.431,3.461,0.03,"187,957.19","649,004.84",是
中证1000ETF,159845,2026-01-29,3.461,3.443,3.494,3.425,3.442,-0.55,"140,833.17","486,681.56",是
中证1000ETF,159845,2026-01-30,3.442,3.420,3.439,3.324,3.406,-1.05,"62,898.84","212,864.20",是
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-02-02,3.406,3.351,3.394,3.267,3.276,-3.82,"112,261.90","372,552.36",是
中证1000ETF,159845,2026-02-03,3.276,3.312,3.387,3.300,3.379,3.14,"61,154.22","204,694.35",是
中证1000ETF,159845,2026-02-04,3.379,3.367,3.391,3.336,3.383,0.12,"87,017.32","292,123.76",是
中证1000ETF,159845,2026-02-05,3.383,3.351,3.361,3.304,3.331,-1.54,"52,122.68","173,434.95",是
中证1000ETF,159845,2026-02-06,3.331,3.294,3.364,3.271,3.317,-0.42,"85,251.19","283,972.22",是
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-02-09,3.317,3.351,3.399,3.351,3.399,2.47,"51,755.87","175,276.54",是
中证1000ETF,159845,2026-02-10,3.399,3.396,3.409,3.378,3.398,-0.03,"42,350.13","143,955.02",是
中证1000ETF,159845,2026-02-11,3.398,3.398,3.426,3.397,3.402,0.12,"51,384.19","175,209.68",是
中证1000ETF,159845,2026-02-12,3.402,3.398,3.441,3.387,3.432,0.88,"58,606.07","200,692.42",是
中证1000ETF,159845,2026-02-13,3.432,3.412,3.432,3.379,3.385,-1.37,"84,451.40","287,588.16",是
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
中证1000ETF,159845,2026-02-24,3.385,3.419,3.449,3.396,3.422,1.09,"53,315.26","182,622.42",是
中证1000ETF,159845,2026-02-25,3.422,3.425,3.481,3.423,3.478,1.64,"94,188.62","326,369.83",是
中证1000ETF,159845,2026-02-26,3.478,3.478,3.500,3.458,3.498,0.58,"81,767.45","284,491.37",是
中证1000ETF,159845,2026-02-27,3.498,3.469,3.532,3.467,3.532,0.97,"72,876.80","255,962.66",是
