证券名称,证券代码,交易日期,收盘价,涨跌幅(%),最高价,最低价,成交量(万份),成交额(万元),数据完整性
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
,,,,,,,,,否
1000基金,560010,20260105,3.193,2.04538,3.19,3.12,6376.84,20207.81,是
1000基金,560010,20260106,3.237,1.37801,3.24,3.18,6313.23,20309.36,是
1000基金,560010,20260107,3.246,0.27804,3.26,3.23,7285.06,23641.0,是
1000基金,560010,20260108,3.277,0.95502,3.29,3.23,4657.12,15226.32,是
1000基金,560010,20260109,3.356,2.41074,3.36,3.28,15149.33,50375.9,是
,,,,,,,,,否
,,,,,,,,,否
1000基金,560010,20260112,3.449,2.77116,3.47,3.36,8359.66,28609.84,是
1000基金,560010,20260113,3.381,-1.97159,3.46,3.37,5746.14,19543.72,是
1000基金,560010,20260114,3.389,0.23662,3.47,3.35,16471.41,56191.2,是
1000基金,560010,20260115,3.391,0.05901,3.4,3.35,4125.13,13933.1,是
1000基金,560010,20260116,3.383,-0.23592,3.42,3.36,26112.63,88096.69,是
,,,,,,,,,否
,,,,,,,,,否
1000基金,560010,20260119,3.394,0.32516,3.41,3.36,76304.48,258777.66,是
1000基金,560010,20260120,3.36,-1.00177,3.41,3.33,24311.3,81939.77,是
1000基金,560010,20260121,3.39,0.89286,3.41,3.33,217835.17,736827.7,是
1000基金,560010,20260122,3.417,0.79646,3.42,3.39,142939.92,486233.02,是
1000基金,560010,20260123,3.499,2.39977,3.5,3.42,249239.28,862632.03,是
,,,,,,,,,否
,,,,,,,,,否
1000基金,560010,20260126,3.432,-1.91483,3.51,3.41,126007.41,435243.98,是
1000基金,560010,20260127,3.445,0.37879,3.46,3.36,54446.53,187087.17,是
1000基金,560010,20260128,3.454,0.26125,3.46,3.42,133706.3,460395.16,是
1000基金,560010,20260129,3.428,-0.75275,3.48,3.41,48170.24,165657.61,是
1000基金,560010,20260130,3.396,-0.93349,3.43,3.31,8405.22,28386.22,是
,,,,,,,,,否
,,,,,,,,,否
