交易日期,总成交额(万元)
20251204,305260.97
20251205,487975.91
20251208,639685.21
20251209,506131.13
20251210,466618.57
20251211,404834.44
20251212,594868.00
20251215,473523.55
20251216,615052.67
20251217,808017.11
20251218,466299.96
20251219,594676.48
20251222,719850.05
20251223,653119.80
20251224,423554.09
20251225,377407.27
20251226,628541.66
20251229,1104911.62
20251230,546644.13
20251231,602824.05
