证券名称,证券代码,交易日期,前收价,开盘价,最高价,最低价,收盘价,涨跌幅(%),成交量(万份),成交额(万元),数据完整性
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
,,,,,,,,,,,否
沪深300ETF,159919,2026-01-05,4.827,4.848,4.928,4.848,4.921,1.95,"24,113.07","118,137.68",是
沪深300ETF,159919,2026-01-06,4.921,4.925,4.997,4.922,4.996,1.52,"32,563.76","161,866.56",是
沪深300ETF,159919,2026-01-07,4.996,4.995,5.004,4.954,4.977,-0.38,"18,669.44","93,055.58",是
沪深300ETF,159919,2026-01-08,4.977,4.965,4.971,4.918,4.944,-0.66,"16,919.59","83,691.08",是
沪深300ETF,159919,2026-01-09,4.944,4.938,4.982,4.924,4.966,0.44,"34,611.36","171,371.40",是
,,,,,,,,,,,否
,,,,,,,,,,,否
沪深300ETF,159919,2026-01-12,4.966,4.971,5.010,4.942,4.992,0.52,"35,726.01","177,907.30",是
沪深300ETF,159919,2026-01-13,4.992,4.992,5.047,4.954,4.972,-0.40,"26,579.07","132,766.04",是
沪深300ETF,159919,2026-01-14,4.972,4.972,5.029,4.918,4.945,-0.54,"59,308.54","295,315.50",是
沪深300ETF,159919,2026-01-15,4.945,4.930,4.970,4.917,4.948,0.06,"130,145.89","643,271.20",是
沪深300ETF,159919,2026-01-16,4.948,4.965,4.998,4.914,4.935,-0.26,"203,520.83","1,008,879.41",是
,,,,,,,,,,,否
,,,,,,,,,,,否
沪深300ETF,159919,2026-01-19,4.935,4.924,4.968,4.915,4.937,0.04,"208,048.89","1,025,990.33",是
沪深300ETF,159919,2026-01-20,4.937,4.937,4.951,4.885,4.923,-0.28,"173,895.13","855,045.83",是
沪深300ETF,159919,2026-01-21,4.923,4.915,4.965,4.905,4.924,0.02,"320,683.73","1,581,204.96",是
沪深300ETF,159919,2026-01-22,4.924,4.937,4.960,4.899,4.926,0.04,"156,826.07","771,478.58",是
沪深300ETF,159919,2026-01-23,4.926,4.929,4.943,4.881,4.898,-0.57,"317,175.91","1,554,626.19",是
,,,,,,,,,,,否
,,,,,,,,,,,否
沪深300ETF嘉实,159919,2026-01-26,4.898,4.910,4.958,4.894,4.913,0.31,"329,000.46","1,617,812.61",是
沪深300ETF嘉实,159919,2026-01-27,4.913,4.908,4.941,4.875,4.910,-0.06,"149,819.37","735,761.80",是
沪深300ETF嘉实,159919,2026-01-28,4.910,4.917,4.942,4.898,4.931,0.43,"360,475.30","1,771,546.47",是
沪深300ETF嘉实,159919,2026-01-29,4.931,4.926,4.983,4.905,4.974,0.87,"173,579.78","858,198.41",是
沪深300ETF嘉实,159919,2026-01-30,4.974,4.952,4.955,4.839,4.912,-1.25,"36,998.37","181,411.00",是
,,,,,,,,,,,否
,,,,,,,,,,,否
沪深300ETF嘉实,159919,2026-02-02,4.912,4.873,4.920,4.787,4.804,-2.20,"55,130.51","267,081.19",是
沪深300ETF嘉实,159919,2026-02-03,4.804,4.836,4.866,4.780,4.864,1.25,"25,243.39","121,888.36",是
沪深300ETF嘉实,159919,2026-02-04,4.864,4.851,4.908,4.841,4.901,0.76,"26,270.03","127,782.05",是
沪深300ETF嘉实,159919,2026-02-05,4.901,4.880,4.893,4.839,4.877,-0.49,"18,219.99","88,650.68",是
沪深300ETF嘉实,159919,2026-02-06,4.877,4.840,4.890,4.805,4.850,-0.55,"22,628.48","109,902.03",是
